Model,Mode,Stock,MAE,MSE,RMSE,R2
quantile_random_forest,nonsentiment,BRK-B,98.12255410535874,10470.10360818633,102.32352421699679,-11.415338493404956
quantile_random_forest,nonsentiment,KO,11.48682896928354,145.372211568362,12.05703991734132,-9.811410490002688
quantile_random_forest,nonsentiment,MRK,29.577834649795708,1083.0161927696474,32.90921136657102,-4.204702757770828
quantile_random_forest,nonsentiment,ORCL,36.15225650287289,1535.8312802026878,39.18968333889275,-5.710372677973704
quantile_random_forest,nonsentiment,OVERALL,43.808479012390926,3307.0931708258718,57.50733145283192,0.6758475215331741
