Model,Mode,Stock,MAE,MSE,RMSE,R2
quantile_random_forest,sentiment,BRK-B,98.09688671112842,10465.82404946993,102.30261017916371,-11.410263837789806
quantile_random_forest,sentiment,KO,11.510422620603016,145.9138986936678,12.079482550741476,-9.851696056313115
quantile_random_forest,sentiment,MRK,29.57295060373181,1082.7573027332319,32.905277733719736,-4.20345859753067
quantile_random_forest,sentiment,ORCL,36.16267040009745,1536.5889721340109,39.1993491289589,-5.713683194760158
quantile_random_forest,sentiment,OVERALL,43.80935714047416,3306.283172298252,57.50028845404388,0.6759269154349239
