Model,Mode,Stock,Trial,Status,Lag_Count,Target_Transform,Estimator,Best_Params,Selection_Metric,Selection_Score,Val_MAE,Val_MSE,Val_RMSE,Val_R2,Val_PinballLoss,Val_Bias
gbm_quantile,nonsentiment,KO,3,ok,50,difference,GradientBoostingRegressor,"{""learning_rate"": 0.05, ""max_depth"": 3, ""max_features"": 0.8, ""min_samples_leaf"": 5, ""n_estimators"": 200, ""random_state"": 42, ""subsample"": 0.8}",PinballLoss,0.2527455592406598,0.5054911184813196,0.5823594695105805,0.7631248059856136,0.9634593666435695,0.2527455592406598,-0.08767221752757919
gbm_quantile,nonsentiment,KO,4,ok,50,log_return,GradientBoostingRegressor,"{""learning_rate"": 0.03, ""max_depth"": 3, ""max_features"": 0.8, ""min_samples_leaf"": 15, ""n_estimators"": 200, ""random_state"": 42, ""subsample"": 1.0}",PinballLoss,0.24736701581783918,0.49473403163567836,0.5759958111057047,0.7589438787589664,0.9638586597275706,0.24736701581783918,0.009433995752831032
gbm_quantile,nonsentiment,KO,5,ok,40,log_return,GradientBoostingRegressor,"{""learning_rate"": 0.03, ""max_depth"": 2, ""max_features"": 0.8, ""min_samples_leaf"": 5, ""n_estimators"": 350, ""random_state"": 42, ""subsample"": 0.8}",PinballLoss,0.2633861266403917,0.5267722532807834,0.5991673502179208,0.774059009519249,0.9630002288968402,0.2633861266403917,-0.1500089747688577
gbm_quantile,nonsentiment,KO,6,ok,20,log_return,GradientBoostingRegressor,"{""learning_rate"": 0.03, ""max_depth"": 2, ""max_features"": 0.8, ""min_samples_leaf"": 5, ""n_estimators"": 350, ""random_state"": 42, ""subsample"": 1.0}",PinballLoss,0.26582693799682383,0.5316538759936477,0.5971380636294988,0.7727470890462796,0.9640925079715762,0.26582693799682383,-0.16805786049378352
gbm_quantile,nonsentiment,KO,7,ok,40,log_return,GradientBoostingRegressor,"{""learning_rate"": 0.03, ""max_depth"": 2, ""max_features"": null, ""min_samples_leaf"": 15, ""n_estimators"": 200, ""random_state"": 42, ""subsample"": 1.0}",PinballLoss,0.24587582031618807,0.49175164063237614,0.5704227897436613,0.7552633909727529,0.9647752624623736,0.24587582031618807,0.014554747878203607
gbm_quantile,nonsentiment,KO,8,ok,50,log_return,GradientBoostingRegressor,"{""learning_rate"": 0.03, ""max_depth"": 2, ""max_features"": 0.8, ""min_samples_leaf"": 5, ""n_estimators"": 200, ""random_state"": 42, ""subsample"": 0.8}",PinballLoss,0.25335556380341484,0.5067111276068297,0.5820551806736154,0.7629254096395108,0.9634784595018608,0.25335556380341484,-0.08899931161343774
gbm_quantile,nonsentiment,KO,9,ok,40,difference,GradientBoostingRegressor,"{""learning_rate"": 0.03, ""max_depth"": 2, ""max_features"": null, ""min_samples_leaf"": 15, ""n_estimators"": 200, ""random_state"": 42, ""subsample"": 1.0}",PinballLoss,0.24592679598059622,0.49185359196119244,0.5666010393108329,0.752729061024505,0.9650112631242531,0.24592679598059622,-0.013254291567621505
gbm_quantile,nonsentiment,KO,10,ok,40,log_return,GradientBoostingRegressor,"{""learning_rate"": 0.08, ""max_depth"": 2, ""max_features"": null, ""min_samples_leaf"": 5, ""n_estimators"": 350, ""random_state"": 42, ""subsample"": 0.8}",PinballLoss,0.27583449563672735,0.5516689912734547,0.6330498415722267,0.7956442933699874,0.9609079179188502,0.27583449563672735,-0.2219213009613787
gbm_quantile,nonsentiment,KO,11,ok,50,log_return,GradientBoostingRegressor,"{""learning_rate"": 0.03, ""max_depth"": 3, ""max_features"": 0.8, ""min_samples_leaf"": 5, ""n_estimators"": 200, ""random_state"": 42, ""subsample"": 0.8}",PinballLoss,0.25733117603455463,0.5146623520691093,0.5864391414142853,0.7657931453168573,0.9632033842082308,0.25733117603455463,-0.12289956931058375
gbm_quantile,nonsentiment,MRK,1,ok,50,difference,GradientBoostingRegressor,"{""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 300, ""random_state"": 42, ""subsample"": 0.9}",PinballLoss,0.42077612186583696,0.8415522437316739,1.378621447686018,1.1741471150098772,0.9684565954834053,0.42077612186583696,-0.3118457475386769
