Model,Mode,Stock,Trial,Status,Lag_Count,Target_Transform,Estimator,Best_Params,Selection_Metric,Selection_Score,Val_MAE,Val_MSE,Val_RMSE,Val_R2,Val_PinballLoss,Val_Bias
gbm_quantile,sentiment,KO,3,ok,50,difference,GradientBoostingRegressor,"{""learning_rate"": 0.05, ""max_depth"": 3, ""max_features"": 0.8, ""min_samples_leaf"": 5, ""n_estimators"": 200, ""random_state"": 42, ""subsample"": 0.8}",PinballLoss,0.2513141816673613,0.5026283633347226,0.5758397761667685,0.7588410743803794,0.9638684502706851,0.2513141816673613,-0.07778240746938797
gbm_quantile,sentiment,KO,4,ok,50,log_return,GradientBoostingRegressor,"{""learning_rate"": 0.03, ""max_depth"": 3, ""max_features"": 0.8, ""min_samples_leaf"": 15, ""n_estimators"": 200, ""random_state"": 42, ""subsample"": 1.0}",PinballLoss,0.24606317180570364,0.4921263436114073,0.5706801559461205,0.75543375351259,0.9641921949689547,0.24606317180570364,0.017518374430790597
gbm_quantile,sentiment,KO,5,ok,40,log_return,GradientBoostingRegressor,"{""learning_rate"": 0.03, ""max_depth"": 2, ""max_features"": 0.8, ""min_samples_leaf"": 5, ""n_estimators"": 350, ""random_state"": 42, ""subsample"": 0.8}",PinballLoss,0.24862769471217927,0.49725538942435854,0.5703716461523495,0.7552295320975931,0.9647784206804761,0.24862769471217927,-0.0497568672471246
gbm_quantile,sentiment,KO,6,ok,20,log_return,GradientBoostingRegressor,"{""learning_rate"": 0.03, ""max_depth"": 2, ""max_features"": 0.8, ""min_samples_leaf"": 5, ""n_estimators"": 350, ""random_state"": 42, ""subsample"": 1.0}",PinballLoss,0.2750054161873283,0.5500108323746566,0.623536722632608,0.7896434148605356,0.9625050867444757,0.2750054161873283,-0.21682356021160046
gbm_quantile,sentiment,KO,7,ok,40,log_return,GradientBoostingRegressor,"{""learning_rate"": 0.03, ""max_depth"": 2, ""max_features"": null, ""min_samples_leaf"": 15, ""n_estimators"": 200, ""random_state"": 42, ""subsample"": 1.0}",PinballLoss,0.24536188751149265,0.4907237750229853,0.5691905641946522,0.7544471911238402,0.9648513548316328,0.24536188751149265,0.0026204586027923716
gbm_quantile,sentiment,KO,8,ok,50,log_return,GradientBoostingRegressor,"{""learning_rate"": 0.03, ""max_depth"": 2, ""max_features"": 0.8, ""min_samples_leaf"": 5, ""n_estimators"": 200, ""random_state"": 42, ""subsample"": 0.8}",PinballLoss,0.24819008791300598,0.49638017582601196,0.5719368333300093,0.7562650549443689,0.9641133436924905,0.24819008791300598,-0.04098844546187292
gbm_quantile,sentiment,KO,9,ok,40,difference,GradientBoostingRegressor,"{""learning_rate"": 0.03, ""max_depth"": 2, ""max_features"": null, ""min_samples_leaf"": 15, ""n_estimators"": 200, ""random_state"": 42, ""subsample"": 1.0}",PinballLoss,0.2456046922768103,0.4912093845536206,0.5659944726904615,0.7523260414809935,0.9650487198149497,0.2456046922768103,-0.012406092616148771
gbm_quantile,sentiment,KO,10,ok,40,log_return,GradientBoostingRegressor,"{""learning_rate"": 0.08, ""max_depth"": 2, ""max_features"": null, ""min_samples_leaf"": 5, ""n_estimators"": 350, ""random_state"": 42, ""subsample"": 0.8}",PinballLoss,0.26520903025348763,0.5304180605069753,0.6040358495220914,0.7771974327814596,0.9626995894180623,0.26520903025348763,-0.1585510338873156
gbm_quantile,sentiment,KO,11,ok,50,log_return,GradientBoostingRegressor,"{""learning_rate"": 0.03, ""max_depth"": 3, ""max_features"": 0.8, ""min_samples_leaf"": 5, ""n_estimators"": 200, ""random_state"": 42, ""subsample"": 0.8}",PinballLoss,0.2516433268437234,0.5032866536874468,0.5775993631793933,0.759999581038959,0.9637580435077607,0.2516433268437234,-0.07569951822426299
gbm_quantile,sentiment,MRK,1,ok,50,difference,GradientBoostingRegressor,"{""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 300, ""random_state"": 42, ""subsample"": 0.9}",PinballLoss,0.42200575375395816,0.8440115075079163,1.3904273124092805,1.1791638191571518,0.9681864726246183,0.42200575375395816,-0.32170055506868994
gbm_quantile,sentiment,MRK,2,ok,20,difference,GradientBoostingRegressor,"{""learning_rate"": 0.08, ""max_depth"": 2, ""max_features"": null, ""min_samples_leaf"": 5, ""n_estimators"": 350, ""random_state"": 42, ""subsample"": 1.0}",PinballLoss,0.43081132720066767,0.8616226544013353,1.414710486877634,1.1894160276697274,0.9711957010298307,0.43081132720066767,-0.38464329575802575
gbm_quantile,sentiment,MRK,3,ok,50,difference,GradientBoostingRegressor,"{""learning_rate"": 0.05, ""max_depth"": 3, ""max_features"": 0.8, ""min_samples_leaf"": 5, ""n_estimators"": 200, ""random_state"": 42, ""subsample"": 0.8}",PinballLoss,0.4052029158096665,0.810405831619333,1.3219298782470699,1.14975209425644,0.96975372103625,0.4052029158096665,-0.2113980552520305
gbm_quantile,sentiment,MRK,4,ok,50,log_return,GradientBoostingRegressor,"{""learning_rate"": 0.03, ""max_depth"": 3, ""max_features"": 0.8, ""min_samples_leaf"": 15, ""n_estimators"": 200, ""random_state"": 42, ""subsample"": 1.0}",PinballLoss,0.4155824783859168,0.8311649567718336,1.3573460392451475,1.165051947015732,0.9689433852514251,0.4155824783859168,-0.293679640570708
gbm_quantile,sentiment,MRK,5,ok,40,log_return,GradientBoostingRegressor,"{""learning_rate"": 0.03, ""max_depth"": 2, ""max_features"": 0.8, ""min_samples_leaf"": 5, ""n_estimators"": 350, ""random_state"": 42, ""subsample"": 0.8}",PinballLoss,0.4336852492375807,0.8673704984751615,1.4239164921669885,1.1932797208395811,0.9687017088394948,0.4336852492375807,-0.3882177113555202
