Model,Mode,Stock,Lag_Count,Target_Transform,Estimator,Best_Params,Selection_Metric,Selection_Score,Val_MAE,Val_MSE,Val_RMSE,Val_R2,Val_PinballLoss,Val_Bias
gbm_quantile,sentiment,BRK-B,40,difference,GradientBoostingRegressor,"{""learning_rate"": 0.03, ""max_depth"": 2, ""max_features"": null, ""min_samples_leaf"": 15, ""n_estimators"": 200, ""random_state"": 42, ""subsample"": 1.0}",PinballLoss,1.0219669715000284,2.0439339430000567,9.85523376948316,3.1393046633742254,0.9590387929994677,1.0219669715000284,-0.07974199538900707
gbm_quantile,sentiment,KO,40,log_return,GradientBoostingRegressor,"{""learning_rate"": 0.03, ""max_depth"": 2, ""max_features"": null, ""min_samples_leaf"": 15, ""n_estimators"": 200, ""random_state"": 42, ""subsample"": 1.0}",PinballLoss,0.24536188751149265,0.4907237750229853,0.5691905641946522,0.7544471911238402,0.9648513548316328,0.24536188751149265,0.0026204586027923716
gbm_quantile,sentiment,MRK,50,difference,GradientBoostingRegressor,"{""learning_rate"": 0.05, ""max_depth"": 3, ""max_features"": 0.8, ""min_samples_leaf"": 5, ""n_estimators"": 200, ""random_state"": 42, ""subsample"": 0.8}",PinballLoss,0.4052029158096665,0.810405831619333,1.3219298782470699,1.14975209425644,0.96975372103625,0.4052029158096665,-0.2113980552520305
gbm_quantile,sentiment,ORCL,40,difference,GradientBoostingRegressor,"{""learning_rate"": 0.03, ""max_depth"": 2, ""max_features"": null, ""min_samples_leaf"": 15, ""n_estimators"": 200, ""random_state"": 42, ""subsample"": 1.0}",PinballLoss,0.3050978478645723,0.6101956957291446,0.8946737084567347,0.9458719302615628,0.9618401938027361,0.3050978478645723,-0.08717835169082128
